protein_id	protein_name	copy_number
GDKOHJ_06330	GDKOHJ_06330 YagB/YeeU/YfjZ family protein	2
GDKOHJ_07590	GDKOHJ_07590 Antitoxin of the YeeV-YeeU toxin-antitoxin system; CP4-44 prophage	2
GDKOHJ_06340	GDKOHJ_06340 Uncharacterized protein YeeT	2
GDKOHJ_07580	GDKOHJ_07580 CP4-44 prophage	2
GDKOHJ_06345	GDKOHJ_06345 DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	2
GDKOHJ_07575	GDKOHJ_07575 DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	2
GDKOHJ_06355	GDKOHJ_06355 DUF945 domain-containing protein	2
GDKOHJ_07565	GDKOHJ_07565 Aec71	2
GDKOHJ_23560	GDKOHJ_23560 Prophage protein	3
GDKOHJ_24755	GDKOHJ_24755 Prophage protein	3
GDKOHJ_25520	GDKOHJ_25520 Prophage protein	3
GDKOHJ_23570	GDKOHJ_23570 Opacity protein LomR and related surface antigens	3
GDKOHJ_24740	GDKOHJ_24740 Opacity protein LomR and related surface antigens	3
GDKOHJ_25530	GDKOHJ_25530 Opacity protein LomR and related surface antigens	3
GDKOHJ_23575	GDKOHJ_23575 Host specificity protein J	3
GDKOHJ_24735	GDKOHJ_24735 Host specificity protein J	3
GDKOHJ_25535	GDKOHJ_25535 Host specificity protein J	3
GDKOHJ_23580	GDKOHJ_23580 Phage-related protein, tail assembly protein I	3
GDKOHJ_24730	GDKOHJ_24730 Phage-related protein, tail assembly protein I	3
GDKOHJ_25540	GDKOHJ_25540 Phage-related protein, tail assembly protein I	3
GDKOHJ_23585	GDKOHJ_23585 Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3
GDKOHJ_24725	GDKOHJ_24725 Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3
GDKOHJ_25545	GDKOHJ_25545 Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3
GDKOHJ_23590	GDKOHJ_23590 phage minor tail protein L	3
GDKOHJ_24720	GDKOHJ_24720 phage minor tail protein L	3
GDKOHJ_25550	GDKOHJ_25550 phage minor tail protein L	3
GDKOHJ_23610	GDKOHJ_23610 Anti-adapter protein IraM	2
GDKOHJ_24575	GDKOHJ_24575 Anti-adapter protein IraM	2
GDKOHJ_23615	GDKOHJ_23615 Phage protein	2
GDKOHJ_24605	GDKOHJ_24605 Phage protein	2
GDKOHJ_23620	GDKOHJ_23620 SAR-endolysin	2
GDKOHJ_24610	GDKOHJ_24610 SAR-endolysin	2
GDKOHJ_23625	GDKOHJ_23625 Transmembrane protein	2
GDKOHJ_24615	GDKOHJ_24615 Transmembrane protein	2
GDKOHJ_23630	GDKOHJ_23630 hypothetical protein	2
GDKOHJ_24620	GDKOHJ_24620 hypothetical protein	2
GDKOHJ_23730	GDKOHJ_23730 Replication protein	2
GDKOHJ_23735	GDKOHJ_23735 protein rep	2
GDKOHJ_02760	GDKOHJ_02760 Methyltransferase type 12 domain-containing protein	2
GDKOHJ_25510	GDKOHJ_25510 Methyltransferase type 12 domain-containing protein	2
GDKOHJ_03795	GDKOHJ_03795 IS3 family IS2 transposase ORF A	6
GDKOHJ_06540	GDKOHJ_06540 IS3 family IS2 transposase ORF A	6
GDKOHJ_07510	GDKOHJ_07510 Transposase	6
GDKOHJ_14740	GDKOHJ_14740 IS3 family IS2 transposase ORF A	6
GDKOHJ_20075	GDKOHJ_20075 IS3 family IS2 transposase ORF A	6
GDKOHJ_24235	GDKOHJ_24235 IS3 family IS2 transposase ORF A	6
GDKOHJ_03800	GDKOHJ_03800 IS3 family IS2 transposase ORF B	4
GDKOHJ_06545	GDKOHJ_06545 IS3 family IS2 transposase ORF B	4
GDKOHJ_14735	GDKOHJ_14735 IS3 family IS2 transposase ORF B	4
GDKOHJ_20070	GDKOHJ_20070 IS3 family IS2 transposase ORF B	4
GDKOHJ_04435	GDKOHJ_04435 Type VI secretion system PAAR protein	2
